review,rating,sentimen,review_clean
"Legonya not ngeklop, can not be on the raft ... Understandably 5000's",2.0,negatif,lego not ngeklop not raft understandably
Package has landed safely. Neat and safe packaging. Fast delivery. The number of products to order. Products corresponding description.,4.0,positif,package landed safely neat safe packaging fast delivery number products order products corresponding description
"Okay, through its good quality, good, bad press is not very solid. Water mist is not very good, soft and easy to deliver good service.",5.0,positif,okay good quality good bad press not solid water mist not good soft easy deliver good service
I selected pickup for girls but also the whole package scarf 2 image for boys,2.0,negatif,selected pickup girls also whole package scarf image boys
Tima ksh.Seluar smpi.P'hantaran laju.Seluar'm already cantik.Memang t'baik.Lain times can repeat order,5.0,positif,tima ksh seluar smpi hantar laju seluar already cantik memang baik times repeat order
Fast delivery .. Items ok ..,4.0,positif,fast delivery items
"Hati2 .. !! .. buy this product does not fit the image d Poto top ... I Buy dn TDS pH meter, which d send TDS all .. pretty I yg d zolimi ..",1.0,negatif,hati buy product not fit image poto top buy dn tds ph meter send tds pretty zolimi
"I have received, thank you. Packingan neat, good stuff. Delivery also cepay",5.0,positif,received thank packingan neat good stuff delivery also cepay
" CP awesome value, fast shipping and a bunch of gifts",4.0,positif,cp awesome value fast shipping bunch gifts
Its skin color not black,2.0,negatif,skin color not black
"1. Item nice, no problems 2. Deliveries are made from china, so it is very long 3. Confirm delivery time, waiting for customers ask first 4. Receipt sent a Chinese sage, when goods arrive in Indonesia, Indonesia JNE receipt waiting for customer contact",2.0,negatif,item nice no problems deliveries made china long confirm delivery time waiting customers ask first receipt sent chinese sage goods arrive indonesia indonesia jne receipt waiting customer contact
satisfied kdbdkxkxkxldlldlckcjcnbcbcbcbcbbcbcncnnjhcbbcbcbfbbcncncbcncncbbcjfjfjhfhfhfbbfbfjfjjfnfjfkfkkfkfkckckkckvnnvncnvnnvncellknjcopekjnfnndnndmdmdnndnfn,4.0,positif,satisfied kdbdkxkxkxldlldlckcjcnbcbcbcbcbbcbcncnnjhcbbcbcbfbbcncncbcncncbbcjfjfjhfhfhfbbfbfjfjjfnfjfkfkkfkfkckckkckvnnvncnvnnvncellknjcopekjnfnndnndmdmdnndnfn
Fading too fast. New wearing 1 day Quick to color Peeling edge. As iron wire,1.0,negatif,fading fast new wearing day quick color peeling edge iron wire
Product quality is ok Good,2.0,negatif,product quality good
Not according to the picture,1.0,negatif,not according picture
"The fabric was beautiful, cold and crisp look and wear. Ngustuhan my son.",4.0,positif,fabric beautiful cold crisp look wear ngustuhan son
Although a bit slow Nice2,5.0,positif,although bit slow nice
"Her packages already come thanks, bnyak order to order all real pict good seller",5.0,positif,packages already come thanks bnyak order order real pict good seller
"Msg trousers 2..knp his mouth DTG shorts, really disappointed ,, The product quality is not good. Original.tdk product does not fit the image,",1.0,negatif,msg trousers knp mouth dtg shorts really disappointed product quality not good original tidak product not fit image
Good product quality Good value for money Good value for money Excellent service by seller Excellent service by seller,4.0,positif,good product quality good value money good value money excellent service seller excellent service seller
The screw is completely loose .. Would like to see the results of addition and subtraction with whole isolation box sink,1.0,negatif,screw completely loose would like see results addition subtraction whole isolation box sink
Alhamdulillah package is up to all of the destination safely and hopefully his native honey azzikra,4.0,positif,alhamdulillah package destination safely hopefully native honey azzikra
Ayub box very ??,2.0,negatif,ayub box
"Boe's a finished, ask the new editor. Very time Both reiterated before the order was also wrong. Contact the company I have nothing but good progress ...... its after-sales service is very poor. Followed by another customer contacts not understand it.",1.0,negatif,boe finished ask new editor time reiterated order also wrong contact company nothing good progress sales service poor followed another customer contacts not understand
There were nice of them are missing daunya.,2.0,negatif,nice missing daunya
Good stuff smooth but not done checked it may all functioning normally,4.0,positif,good stuff smooth not done checked may functioning normally
See large to put some not. But the pack was very good,1.0,negatif,see large put not pack good
"Barang datang sesuai pesanan, packing baik, respon dari penjual kurang. Belum dicoba, semoga enak",4.0,positif,barang datang sesuai pesan packing baik respon jual kurang belum coba moga enak
"Wehgilasehhhhh bobelwrapnya tebel bingitttssss when engga use Bobel double wrap also to order delivery and cepetttt sampeeeee, thankssss sis",5.0,positif,wehgilaseh bobelwrapnya tebel bingits engga use bobel double wrap also order delivery cepet sampe thanks sis
Fast delivery Excellent service by seller Good value for money,4.0,positif,fast delivery excellent service seller good value money
Ny material thin x Ad valorem ny,1.0,negatif,ny material thin ad valorem ny
Ok hand holding pen ink to make all deliveries in one week long HSD ...,4.0,positif,hand holding pen ink make deliveries one week long hsd
Poor delivery speed seller unfavorable response,1.0,negatif,poor delivery speed seller unfavorable response
Poorly packaged products,1.0,negatif,poorly packaged products
product quality is good ... good .. baikkk response ... delivery okk,5.0,positif,product quality good good baik response delivery okk
Damaged / defective item hnd pic I distributed small size xa and have more rust on the back! Seller useless fool!,1.0,negatif,damaged defective item hnd pic distributed small size xa rust back seller useless fool
"kualitasnya mantap, penjualnya gercep dan packingnya rapih bin mantap",5.0,positif,kualitas mantap jual gercep packingnya rapih bin mantap
my mother love it,5.0,positif,mother love
Good product quality Good value for money,4.0,positif,good product quality good value money
"The goods are, fast free shipping day. Thank you",4.0,positif,goods fast free shipping day thank
"New smpai, Keith pairs ??",5.0,positif,new smpai keith pairs
"Flowers look healthy and fresh, fast delivery recommended seller. Seller fast response, bagussss, hopefully orchid thrives ... Aamiin, next want pesen again SPT",5.0,positif,flowers look healthy fresh fast delivery recommended seller seller fast response bagus hopefully orchid thrives aamiin next want sen spt
Awesome awesome speed of delivery of goods awesome quality service,4.0,positif,awesome awesome speed delivery goods awesome quality service
Pesen size 31 all. Who dateng 31 and 28..kalo stock not there must not send a Confirmation dong,1.0,negatif,sen size dateng kalo stock not must not send confirmation dong
Packing gk dents all wear kardus.jadinya,2.0,negatif,packing tidak dents wear kardus jadi
Sngat enjual good response very fast delivery of goods Gaada money tuck d d spending substantially satisfied packages dsini heheheh,4.0,positif,sngat enjual good response fast delivery goods gaada money tuck spending substantially satisfied packages dsini heheheh
Yung quality of the bag! And followed the color you want kooooo. Yay! Thank you so muchhh seller! ?,5.0,positif,yung quality bag followed color want ko yay thank much seller
entah pembelian yg keberapa kali...soalnya selalu pesen disini ...pengiriman and packing nya bagus banget...yg sekarang pengiriman gosend...selalu puas....,5.0,positif,entah beli berapa kali soal selalu sen sini kirim packing nya bagus banget sekarang kirim gosend selalu puas
"sudah untuk kesekian kalinya, jamunya enak banget, tanpa ampas",5.0,positif,sekian kali jamu enak banget ampas
"Set of beautiful, beautiful fabric. Mn should muaaaaaaaaaaaaaaaaaaaaaaaaaaa",5.0,positif,set beautiful beautiful fabric mn mua
The product quality is excellent. The original product. The product price is very good. Delivery speed is very good. The response is very good seller.,4.0,positif,product quality excellent original product product price good delivery speed good response good seller
Less of a cream-colored sewing unsettled. Mess around with a black image.,2.0,negatif,less cream colored wing unsettled mess around black image
Less like watches rose diamon gold..ngelupas also karat..hijab hot peach color fabric banget..kalau d trbang alias Ngawang disposable cloth ...,2.0,negatif,less like watches rose diamon gold ngelupas also karat hijab hot peach color fabric banget kalau trbang alias ngawang disposable cloth
The product quality is excellent. The original product. Delivery speed is very good.,5.0,positif,product quality excellent original product delivery speed good
If the stock is empty in the ad request in writing a blank,1.0,negatif,stock empty ad request writing blank
Awesome awesome speed of the ship merchandise quality merchandise awesome awesome quality of CP value awesome service,4.0,positif,awesome awesome speed ship merchandise quality merchandise awesome awesome quality cp value awesome service
His goods steady. Kerenn ??,5.0,positif,goods steady kerenn
"Pink feminine, sweet, cute Thongs sure, cheap price",5.0,positif,pink feminine sweet cute thongs sure cheap price
"Mantapp, new kmrin morning checkout, transfer, these days it directly datangg night, his goods ORI, good, anyway plenary ??????",5.0,positif,mantapp new kmrin morning checkout transfer days directly datangg night goods ori good anyway plenary
New dipke tngan already torn her left and right. ??,2.0,negatif,new dipke tngan already torn left right
cookiesnya enak.. ??,5.0,positif,cookiesnya enak
I used that k has a little effect at all. Still completely dirty stains.,1.0,negatif,used little effect still completely dirty stains
For the price its so high quality it is waterproof and also convenient it is also lock sealed so its absolutely waterproof,5.0,positif,price high quality waterproof also convenient also lock sealed absolutely waterproof
Standard product quality standard product price standard delivery Speed,2.0,negatif,standard product quality standard product price standard delivery speed
The response is very good seller. Delivery speed is very good.,5.0,positif,response good seller delivery speed good
i order queen size but got super single,1.0,negatif,order queen size got super single
Excellent product quality excellent product price,5.0,positif,excellent product quality excellent product price
Awesome speed of the ship awesome awesome quality merchandise value CP,5.0,positif,awesome speed ship awesome awesome quality merchandise value cp
the sound is superb,5.0,positif,sound superb
"Good for iphone, android difficult however for skali to connect, must install a special application for android that was to display games and online video is often problematic. That's easy on display for video and photos stored locally on the phone.",2.0,negatif,good iphone android difficult however skali connect must install special application android display games online video often problematic easy display video photos stored locally phone
the quality pretty oknaman ..sa four orders I was one of the close lock .. ipapa.ayos I sell it for him ..,2.0,negatif,quality pretty oknaman sa four orders one close lock ipapa ayos sell
Alhmdullilah always satisfied belnja here mkasih kak prtahankan efforts continue and mkin lncar,4.0,positif,alhmdullilah always satisfied belnja mkasih kak prtahankan efforts continue mkin lncar
I ordered 2PCS 1PC JOG SHORTS AND PANTS but came just short and 1pc 1pc jog PANTS but I still paid ung amount of three. Pakiaayos next time hopefully!,1.0,negatif,ordered pcs pc jog shorts pants came short pc pc jog pants still paid ung amount three pakiaayos next time hopefully
Very poor product quality,1.0,negatif,poor product quality
Product quality standards.,2.0,negatif,product quality standards
packagingnya pakai dus dan wrap. rapih banget.,5.0,positif,packagingnya pakai dus wrap rapih banget
Wear rubber chair fit. The store has a variety of time-saving convenience products faster delivery was correct type. Delivery Good,4.0,positif,wear rubber chair fit store variety time saving convenience products faster delivery correct type delivery good
paking kurang tebel,4.0,positif,paking kurang tebel
Packaging fast .. fast delivery .. The shirt is really good .. I like ...,4.0,positif,packaging fast fast delivery shirt really good like
Disconnect the router several times a day. Whether on the phone or iPad as the first day. And the need to reset the firmware is up to date.  That removed the better Unused,1.0,negatif,disconnect router several times day whether phone ipad first day need reset firmware date removed better unused
tks brgnya sdh ditrima dgn baik,5.0,positif,tks brgnya ditrima baik
"Beautiful packaging but sad because there rubbing strips, would be nice but I use just, next time they would MAQC well for non nalulubgkot the customers, thanks anyways",1.0,negatif,beautiful packaging sad rubbing strips would nice use next time would maqc well non nalulubgkot customers thanks anyways
Prod. Sdh diterima dg baik. Tx.,5.0,positif,prod terima baik tx
Put out 38 more,2.0,negatif,put
Cepet bgt sampe kaget! Thank you ya kak,5.0,positif,cepet banget sampe kaget thank kak
"Pack quickly, the price is okay, the original product .. thank you ......",5.0,positif,pack quickly price okay original product thank
thank God ahirnya samapi also peaananku ................ trimakasih ........... unfortunately remains just the same pay for postage so buy d store,2.0,negatif,thank god ahirnya samapi also peaananku trimakasih unfortunately remains pay postage buy store
NOT WORKING AT ALL,1.0,negatif,not working
courier friendly,4.0,positif,courier friendly
"Bawangnya enak, garing kriuk2",5.0,positif,bawang enak garing kriuk
" Product quality standards, only worn once broken seletingnya duh sad ?? must to kang sewing ..  Free standard shipping. Standard seller response.",2.0,negatif,product quality standards worn broken leting duh sad must kang wing free standard shipping standard seller response
This dish cloth is rough and difficult to squeeze dry. Has to leave it to drip dry over the sink. Not sure if it can work on the non-stick and would not want to risk it. It is expensive.,1.0,negatif,dish cloth rough difficult squeeze dry leave drip dry sink not sure work non stick would not want risk expensive
"kremesannya enak, packingnya rapih, per item dibungkus bubble wrap. pasti pesen lagi",5.0,positif,kremesannya enak packingnya rapih per item bungkus bubble wrap sen
Mantap pengemasan dan pengiriman cepet. Terimakasih sellee dan shopee,5.0,positif,mantap emas kirim cepet terimakasih sellee shopee
Product quality so so,1.0,negatif,product quality
Product quality temporary,2.0,negatif,product quality temporary
Not bad..walopun chat at bls tp ga direct delivery Kurim that day jg ..,5.0,positif,not bad walopun chat bls tidak direct delivery kurim day jg
Shop nt friendly .. but larger shoe size frequency 1 .. carry not just slip dusty ..: (((((,2.0,negatif,shop nt friendly larger shoe size frequency carry not slip dusty
Poor quality ,1.0,negatif,poor quality
Standard product quality quality standard product quality standard products,2.0,negatif,standard product quality quality standard product quality standard products
Fast shipping. Product sold in Watson is thicker than this one.,2.0,negatif,fast shipping product sold watson thicker one
"Praise has been received, according to the number of orders. Hopefully functioning normally, children waiting for high tide. Thank Emart and shopee delivery.",4.0,positif,praise received according number orders hopefully functioning normally children waiting high tide thank emart shopee delivery
Stitches are not neat,2.0,negatif,stitches not neat
Shop worth yeu??,5.0,positif,shop worth yeu
Original product quality good delivery speed good seller response,2.0,negatif,original product quality good delivery speed good seller response
"Disappointed anyway, future prices gk doang segini brand there, Gw other clothes that price is less lebis its brand segitu yes there was",2.0,negatif,disappointed anyway future prices tidak doang gin brand clothes price less lebis brand segitu yes
Thanks for the album already DTG .. very happy interchangeable hobiii ????????,5.0,positif,thanks album already dtg happy interchangeable hobi
Pol small anak2 buwat back of the neck almost invisible costemer want gk jd,1.0,negatif,pol small anak buwat back neck almost invisible costemer want tidak jadi
"Charger must be plugged It plugs into any setting, it's difficult to guide a Chinese-style minimalist but beautiful.",2.0,negatif,charger must plugged plugs setting difficult guide chinese style minimalist beautiful
Her veil was nice but just bagiannn deket short tangann his sebelahh.pengiriman cepattt.,2.0,negatif,veil nice bagi deket short tangann sebelahh kirim cepat
Brng dh until .... goods bgs in accordance with the price that much ... if you make a passable job mh,2.0,negatif,brng dh goods bgs accordance price much make passable job mh
Packaging rapi dan aman.. tidak penyok. Isi aja kebalik2 mgkn krn pengiriman. rasa selalu enak??,5.0,positif,packaging rapi aman tidak penyok isi aja balik mgkn kirim rasa selalu enak
I look at the picture of her dress material thick but after his luggage nyampe his thin shirt and stuff his slow coming,1.0,negatif,look picture dress material thick luggage nyampe thin shirt stuff slow coming
2 days ago close po. But those beautiful casing,1.0,negatif,days ago close po beautiful casing
Not as beautiful as gbrnya. Product quality standards,2.0,negatif,not beautiful gbrnya product quality standards
"Alhamdulillah dah until shawl ,, always preferred because it suitable for everyday ,, although jumbo tp comfortable wearing heavy g lia tea ,, celebration smoga successful smakin",5.0,positif,alhamdulillah dah shawl always preferred suitable everyday although jumbo comfortable wearing heavy lia tea celebration smoga successful smakin
Texture too praised the seller packed,4.0,positif,texture praised seller packed
DC at the time not. But in general accounts is consistent 40k,2.0,negatif,dc time not general accounts consistent
mantullllllllklk kkkkkkkkkkkkkkkkkk?????????????????????????????????????????????????????????????????????????????????????????????????? ????????????????????????????????????????????????????????????????????????????????????????I,4.0,positif,mantulklk
"Fast receipt of goods, packaging is very cautious and careful, fair prices, It is like oh! Have the opportunity to buy again!",5.0,positif,fast receipt goods packaging cautious careful fair prices like opportunity buy
Okee quality. The material is cool .. Price also schoolgirl's bag.,5.0,positif,okee quality material cool price also schoolgirl bag
i one 15A 1gang?you give me 13A 1gang????,1.0,negatif,one gang give gang
Product quality is very good Very good value,4.0,positif,product quality good good value
enak!,5.0,positif,enak
Dismantling dismantling those bolt her ...,1.0,negatif,dismantling dismantling bolt
great products,4.0,positif,great products
The product quality is not good. The products do not original.,1.0,negatif,product quality not good products not original
"The fabric is very thin Airy fabrics like not wearing it. Wide leg pants, put porn Suitable for putting one on.",2.0,negatif,fabric thin airy fabrics like not wearing wide leg pants put porn suitable putting one
Product quality is ok,2.0,negatif,product quality
"The material is basically steel, but part of its aluminum rod",2.0,negatif,material basically steel part aluminum rod
Meletat meletot,1.0,negatif,meletat meletot
Coming incompatible with my motive message,2.0,negatif,coming incompatible motive message
Well worth the money very fast delivery times very good service shop is well worth the money,5.0,positif,well worth money fast delivery times good service shop well worth money
Boss pretty fast smpai goods 3hqri je most important clincher congratulations,5.0,positif,boss pretty fast smpai goods hqri je important clincher congratulations
Excellent product quality excellent product price is very good delivery speed is very good seller's response,5.0,positif,excellent product quality excellent product price good delivery speed good seller response
.. best service ????,4.0,positif,best service
"Full Alkhamdulillah ,, thanks ,, I love it .. ????????????????????",4.0,positif,full alkhamdulillah thanks love
This disposable pull the wool was not spicy cream because the self park ni ..,4.0,positif,disposable pull wool not spicy cream self park ni
Thanks kak ??????,4.0,positif,thanks kak
buy 2 sets of 3 pecahhhhhhh,1.0,negatif,buy sets pecah
" Good value for money. But choose another design, to design another. My baby is boys but can design girl (Busha).",1.0,negatif,good value money choose another design design another baby boys design girl busha
"mantap masih fresh, trima kasih pak kurir dan juga trima kasih buat tokonya semoga makin sukses.",5.0,positif,mantap fresh trima kasih pak kurir trima kasih buat toko moga makin sukses
Blum one day d wear pinggiranny already let go,1.0,negatif,belum one day wear pinggiranny already let go
"Unfortunately, that bakhour leak .. next please packaged using tambahan..supaya kerdus safer.  to soft. secure. thanks.",1.0,negatif,unfortunately bakhour leak next please packaged using tambah kerdus safer soft secure thanks
I thought it was really long. Fits small to medium frame.,2.0,negatif,thought really long fits small medium frame
Pesenan jacket navy blue .. its dibawain Aqua .. kecewaww. .. tp gpp,5.0,positif,sen jacket navy blue dibawain aqua kecewaww gpp
kre3eeeen laahhhkre3eeeen okay okay okay kre3eeeen laahhhkre3eeeen laahhhkre3eeeen okay okay okay kre3eeeen laahhhkre3eeeen laahhhkre3eeeen okay okay okay kre3eeeen laahhh,4.0,positif,kre en laahkre en okay okay okay kre en laahkre en laahkre en okay okay okay kre en laahkre en laahkre en okay okay okay kre en laah
Shipped ultrafast seller is super good ?? Bang Bang ??,4.0,positif,shipped ultrafast seller super good bang bang
Sy pesen 4 trousers that came only two pants ..,1.0,negatif,sen trousers came two pants
Than imagined little freshman overall great I love,5.0,positif,imagined little freshman overall great love
Awesome awesome speed of delivery of goods quality,5.0,positif,awesome awesome speed delivery goods quality
Yung navy blue looks like used na..may scratches and is no more plastic. Gold was also ok.,4.0,positif,yung navy blue looks like used na may scratches no plastic gold also
"Too thin, poor product quality.",1.0,negatif,thin poor product quality
Excellent product quality excellent product quality excellent product price,5.0,positif,excellent product quality excellent product quality excellent product price
Waaaw gede banget,2.0,negatif,waw gede banget
Rather thin si ... tp according hrga yes lah ....,2.0,negatif,rather thin si according hrga yes lah
"Remember collapsible bottle of pink. Follows in gmbr park pink bottle. When dtanya, x reply. BRG other all okay .. just this.",2.0,negatif,remember collapsible bottle pink follows gmbr park pink bottle dtanya reply barang okay
The product quality is not good. The product quality is not good. The product quality is not good.,1.0,negatif,product quality not good product quality not good product quality not good
The goods have arrived at the customer. Nice bgus bagussss bangeettt. There is no quality price,4.0,positif,goods arrived customer nice bgus bagus bangeet no quality price
"Very nice, once recomend",5.0,positif,nice recomend
Product quality is ok. The printing on the hoodie looks like it will come off. Though the product came quite early.,2.0,negatif,product quality printing hoodie looks like come though product came quite early
Ny's stock price banyakin yes .... I'll be subscribed .... Thanks,5.0,positif,ny stock price banyakin yes subscribed thanks
The product quality is excellent. The original product.,4.0,positif,product quality excellent original product
Very good product. Worth the money. Not wasting your money buying it. Thank shop.,4.0,positif,good product worth money not wasting money buying thank shop
"blm di coba, tp packing rapih dan ceat",4.0,positif,belum coba packing rapih ceat
Poor service from the store. Poor service from the carrier.,2.0,negatif,poor service store poor service carrier
Excellent quality,4.0,positif,excellent quality
the adhesive all over the tape.nakakairita,1.0,negatif,adhesive tape nakakairita
"Submitted the wrong pattern Order Mickey head to head, but I do not know what's coming.",2.0,negatif,submitted wrong pattern order mickey head head not know coming
The price of the standard product. Product quality standards.,2.0,negatif,price standard product product quality standards
Product quality is ok,2.0,negatif,product quality
Not cat-resistant as advertised. Delivery time is good.,2.0,negatif,not cat resistant advertised delivery time good
UNRESPONSIVE SELLER,1.0,negatif,unresponsive seller
"Mesen what any shipping, hedeh .... TPI Klo material si ok, his delivery is also cepet",2.0,negatif,mesen shipping hedeh tpi klo material si delivery also cepet
"Received my order of 2 Q9. Transaction was fast but when we tested the microphones the other one works well, while the other one seems to have a problem on its system. But over all, i liked the service. I just hope you check your items first before you ship it. ",2.0,negatif,received order transaction fast tested microphones one works well one seems problem system liked service hope check items first ship
The relatively light pagkablack her and her bottons seems nice post also OK but she kasosyalan formerly as A in pic,2.0,negatif,relatively light pagkablack bottons seems nice post also kasosyalan formerly pic
Shop serves very good product packaging is very beautiful and certainly very good Shop serves excellent product quality,5.0,positif,shop serves good product packaging beautiful certainly good shop serves excellent product quality
Thank ya kak niveanya are. Packing neatly. Bubble wrap thick. Safe substantially ????,5.0,positif,thank kak niveanya packing neatly bubble wrap thick safe substantially
The product quality is okay. Only it turns out smaller dr expected :(,2.0,negatif,product quality okay turns smaller expected
3rd time will continue to buy .. store and buy every month .. ??????,5.0,positif,rd time continue buy store buy every month
Very poor product quality,1.0,negatif,poor product quality
"Wallpapernya not installed, hopefully good and the walls of the house so lbh beautiful, friendly seller and delivery cepat??",4.0,positif,wallpapernya not installed hopefully good walls house lbh beautiful friendly seller delivery cepat
"saya kecewa pelayanannya, saya order kemaren malam berharap pagi pas buka toko pesanan langsung di kirim dengan asumsi siang or sore nyampe dirumah. pas ditanyain chat gk bls. pengirimannya lama. saya minta cancel tp ttp di proses. product juga stikernya udh broken. untuk rasa kopi biasa aja.",2.0,negatif,kecewa layan order kemaren malam harap pagi pas buka toko pesan langsung kirim asumsi siang sore nyampe rumah pas ditanyain chat tidak bls kirim lama minta cancel ttp proses product stiker broken rasa kopi biasa aja
Excellent product quality product packaging is very beautiful and certainly very good service Shop money very good very fast delivery time,4.0,positif,excellent product quality product packaging beautiful certainly good service shop money good fast delivery time
Anyway going to be a heck subscriptions continue this as a mandate,5.0,positif,anyway going heck subscriptions continue mandate
Alhamdulillah ........ ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ??,1.0,negatif,alhamdulillah
"Packing very safe, bubble wrap his tebelll??????",5.0,positif,packing safe bubble wrap tebel
"Packing less recommended, goods arrive broken tripod directly to its holder u just clip on and splitter normal to other sellers of times in love cardboard used for packing more secure, but the goods still in use",2.0,negatif,packing less recommended goods arrive broken tripod directly holder clip splitter normal sellers times love cardboard used packing secure goods still use
Thank God his luggage had arrived peaking bounced his boss .. .. BSK I order again boss,4.0,positif,thank god luggage arrived peaking bounced boss bsk order boss
Real enough 1 item (cleaning brush). X box with plastic wrap to avoid dents.,1.0,negatif,real enough item cleaning brush box plastic wrap avoid dents
Excellent product quality excellent product price is very good delivery speed is very good seller's response,4.0,positif,excellent product quality excellent product price good delivery speed good seller response
I said my goodness navy blue but the wrong color is given ..,1.0,negatif,said goodness navy blue wrong color given
Sllu toopppp sllu subscription dehhh friendly goods fast response ory n pengirimannn Cepatt ????????,5.0,positif,sllu toop sllu subscription deh friendly goods fast response ory kirim cepatt
"Excellent product quality, original product, the price is very good, respont good seller, delivery speed smoothly, trimakasih ????",4.0,positif,excellent product quality original product price good respont good seller delivery speed smoothly trimakasih
"Delivery is very long and bertele2 9 days received a new item. Product sealed, plastic TPI + battery charger of the head is already open and the severity of LGI Trackpad on hp rocking, my message case that sent the blue color purple! Please seller that sells more competent, honest and conscientious.",1.0,negatif,delivery long tele days received new item product sealed plastic tpi battery charger head already open severity lgi trackpad hp rocking message case sent blue color purple please seller sells competent honest conscientious
Good product quality,5.0,positif,good product quality
"Good delivery, good packaging, good quality products, good sales response, standard delivery speed, may blessing",5.0,positif,good delivery good packaging good quality products good sales response standard delivery speed may blessing
"Super disappointed with the seller.Took me almost a month to receive my parcel from the date i purchased.The processing and posting process from the seller superb late.  It is even more dissapointing,that the design that o received was different from what i ordered.Quality good but the service bad",1.0,negatif,super disappointed seller took almost month receive parcel date purchased processing posting process seller superb late even dissapointing design received different ordered quality good service bad
"good product quality, will buy again, thank you seller.....",4.0,positif,good product quality buy thank seller
Bad bad bad quality merchandise goods quality poor quality goods bad quality goods quality goods,1.0,negatif,bad bad bad quality merchandise goods quality poor quality goods bad quality goods quality goods
Free standard shipping,2.0,negatif,free standard shipping
Brg some abrasions n bit broken .... But its ok lah ....,2.0,negatif,barang abrasions bit broken lah
Steady packaging ........... tidy up safely passable meal packaging time tp Overall ok??,5.0,positif,steady packaging tidy safely passable meal packaging time overall
The product quality is excellent. The original product. The product quality is excellent. The original product.,4.0,positif,product quality excellent original product product quality excellent original product
Delivery time below expectation..Very poor service by seller,1.0,negatif,delivery time expectation poor service seller
"beautiful and very thick coat, please. cheap anymore. not even try to form nnao kbiet nhma very ok ah",4.0,positif,beautiful thick coat please cheap anymore not even try form nnao kbiet nhma ah
Awesome speed of the ship awesome awesome quality merchandise value CP,4.0,positif,awesome speed ship awesome awesome quality merchandise value cp
Product quality is very good Very good value,5.0,positif,product quality good good value
The response is not good seller product quality is not good,1.0,negatif,response not good seller product quality not good
Love 3 for watches her death can not be used,2.0,negatif,love watches death not used
"Like, like, good, disability ga, ga damaged, its principal seamless nice",4.0,positif,like like good disability tidak tidak damaged principal seamless nice
Delivery time below expectation,1.0,negatif,delivery time expectation
Because I pesen size 40 and i really small black pesen advent abu²,1.0,negatif,sen size really small black sen advent abu
Its first great fit tpi gk chest. The other was a rich even jaitan Abis opened,1.0,negatif,first great fit tpi tidak chest rich even jaitan abis opened
"not function at all, it turns out its components many of which only exist koncas ga, ga jga mic function, parahh product of this shop. disappointed",1.0,negatif,not function turns components many exist koncas tidak tidak jga mic function parahh product shop disappointed
@@ k at sir charger,1.0,negatif,sir charger
"I did not glue Ca Ngu little loose. By the second day, and then spread no cars.",1.0,negatif,not glue ca ngu little loose second day spread no cars
Happy with all the items i bought. Will definitely order again,5.0,positif,happy items bought definitely order
"Brgnya da diterima dgn baik,, ini sdh yg ke 2 kalinya .Tks Seller n ****************** Sukses Selalu",5.0,positif,brgnya da terima baik kali tks seller sukses selalu
"Pack items in a plastic bag. There was wrapped foam cushions Good quality products, but not for smaller pot batch of cars waiting for a long time.",2.0,negatif,pack items plastic bag wrapped foam cushions good quality products not smaller pot batch cars waiting long time
"Excellent product quality, according to the drawings, and the fast packaging",5.0,positif,excellent product quality according drawings fast packaging
The packaging was so poor. There's no bubble wrap at all. The shipment took a very long time (almost a month). But the could be used because its 5g wifi is connected with Indonesian smartphone.,2.0,negatif,packaging poor no bubble wrap shipment took long time almost month could used wifi connected indonesian smartphone
Good sp. Everyone should buy,1.0,negatif,good sp everyone buy
"Transfer yesterday, until bsoknya cpt bgt wih, p d try smga ccok, packing is very safe. Review after the 2 weeks of usage, both washers face handbody n ya guys. So far ga bkin aq skin irritation, tp for p kynya difference there, just the same rich before aq both products. Mgkin bda2 HSIL times each",2.0,negatif,transfer yesterday bsoknya cpt banget wih try smga ccok packing safe review weeks usage washers face handbody guys far tidak bkin aq skin irritation kynya difference rich aq products mgkin bda hsil times
Genuine product with fast delivery. Recommended!,5.0,positif,genuine product fast delivery recommended
"Steady, sdh order is received whole and complete. Packingan safe and neat, fast delivery and most major goods that's brilliant. Thank ya kak.",5.0,positif,steady order received whole complete packingan safe neat fast delivery major goods brilliant thank kak
"Brg silap hantar, hope seller double check it before post, tq",2.0,negatif,barang silap hantar hope seller double check post tq
I ordered 8 items but i only received 4.,1.0,negatif,ordered items received
ususnya pahit,1.0,negatif,usus pahit
Product quality standards,2.0,negatif,product quality standards
Excellent team dan great taste,5.0,positif,excellent team great taste
Orders arrive safely and completely. Thank you :)),5.0,positif,orders arrive safely completely thank
will order again ??,5.0,positif,order
Bgus does cuman KEGEDEAN..ini mh bkn for ages 4 yrs TPI for ages 6 yrs ... forced deh I cut off her tutu skirt !!!!,2.0,negatif,bgus cuman gede mh bkn ages yrs tpi ages yrs forced deh cut tutu skirt
Brg ny ... discrepant image photographed distinguished gray blue blue dtng terang.gmn it,1.0,negatif,barang ny discrepant image photographed distinguished gray blue blue dtng terang gmn
